index,author,statement,source,date,label,predicted_label,reasoning
3,Tyler Katzenberger,Says U.S. Sen. Tammy Baldwin “voted to send hundreds of millions to Iran” to bankroll “radicals like Hezbollah and Hamas.”,National Republican Senatorial Committee,"November 24, 2023",barely-true,mostly-false,"The statement is mostly false because it exaggerates and misrepresents Senator Tammy Baldwin's actions. While it is true that she voted on a bill related to Iran, it is misleading to claim that she specifically voted to send hundreds of millions to Iran to support radicals like Hezbollah and Hamas. The PolitiFact rating confirms that there are two different instances of the U.S. freeing Iranian money, and Baldwin only voted on one of them, which was related to the 2015 nuclear deal. Therefore, the statement ignores critical facts and takes things out of context."
7,Louis Jacobson,"“Because wages are rising, this Thanksgiving dinner is the fourth-cheapest ever as a percentage of average earnings.”",Karine Jean-Pierre,"November 21, 2023",mostly-true,half-true,"The statement is partially accurate but leaves out important details or takes things out of context. 

The statement claims that this Thanksgiving dinner is the fourth-cheapest ever as a percentage of average earnings because wages are rising. While it is true that wages are rising, it is important to consider other factors that contribute to the cost of Thanksgiving dinner, such as the prices of food and ingredients. The statement does not provide any information about the prices of food or how they have changed over time. Therefore, it is only partially accurate and leaves out important details."
15,Jeff Cercone,These 13 books “have been banned from schools in Florida.”,Pink,"November 20, 2023",barely-true,half-true,"The statement is partially accurate but leaves out important details or takes things out of context. While it is true that there have been changes in Florida laws regarding books in public schools, the statement fails to provide specific information about the 13 books that have been banned. Without this information, it is difficult to determine the accuracy of the claim."
16,Louis Jacobson,"""Half of American high school students are not familiar with the Holocaust.""",Dean Phillips,"November 20, 2023",barely-true,half-true,"The statement is partially accurate but leaves out important details or takes things out of context. While recent polls show that well more than half of younger Americans broadly understand that the Holocaust occurred, the statement does contain an element of truth as there is still a significant portion of American high school students who are not familiar with the Holocaust."
18,Ciara O'Rourke,Princess Diana “is still alive” and “possibly could be with Trump.”,Viral image,"November 17, 2023",pants-fire,pants-fire,The statement is not accurate and makes a ridiculous claim including a conspiracy. The claim that Princess Diana is still alive and possibly with Trump is completely baseless and lacks any evidence. It is a conspiracy theory that has been debunked multiple times.
23,Sophia Voight,"U.S. House Speaker Mike Johnson ""opposes Social Security benefits.""",Francesca Hong,"November 17, 2023",barely-true,mostly-false,"The statement made by Sophia Voight that U.S. House Speaker Mike Johnson ""opposes Social Security benefits"" is mostly false. According to the fact-checking website Politifact, Mike Johnson has not outright said that he opposes Social Security benefits. The Republican Study Committee, which Johnson chaired, did recommend significant cuts to the program in 2020, but this does not mean that Johnson himself opposes Social Security benefits. Therefore, the statement is misleading and lacks important context."
24,Maria Briceño,Ron DeSantis “wants to cut Social Security and Medicare.”,DeSantis Watch,"November 16, 2023",barely-true,half-true,"The statement is partially accurate but leaves out important details or takes things out of context. 

Based on the search results, it is true that Ron DeSantis has expressed support for privatizing Social Security and Medicare in the past. However, it is important to note that as a presidential candidate, DeSantis has not explicitly stated what he wants to do with Medicare. Therefore, the statement that he ""wants to cut Social Security and Medicare"" is partially accurate but lacks specific information about his current stance on the issue."
25,Louis Jacobson,“Abraham Lincoln challenged a guy to a sword fight.”,Markwayne Mullin,"November 16, 2023",half-true,half-true,"The statement is partially accurate but leaves out important details or takes things out of context. While it is true that Abraham Lincoln engaged in a duel involving swords, he was not the one who made the challenge. The statement implies that Lincoln initiated the duel, which is not accurate."
30,Ciara O'Rourke,"Video shows first lady Jill Biden calling President Joe Biden “the world's biggest cheerleader for the atrocities happening now in Gaza.""",Viral image,"November 15, 2023",pants-fire,pants-fire,"The statement is not accurate and makes a ridiculous claim including a conspiracy. The search results provided do not show any evidence of a video where Jill Biden calls President Joe Biden ""the world's biggest cheerleader for the atrocities happening now in Gaza."" Additionally, the repetition of the search results suggests that the statement may be fabricated or exaggerated."
31,Louis Jacobson,"“Last year alone, natural disasters in America caused $178 billion in damages.”",Joe Biden,"November 15, 2023",mostly-true,mostly-true,"The statement is mostly true because it aligns with official federal government statistics. However, it would be helpful to have more context and information about the specific sources and data used to determine the $178 billion figure."
