author,statement,source,date,label
Sara Swann,Video shows a Doctors Without Borders medic in Jenin taking a weapon from a wounded person and giving it to someone else.,Instagram posts,"November 27, 2023",false
Loreben Tuquero,"“Terrorist attack confirmed” in Niagara Falls, New York.",Social Media,"November 27, 2023",false
Grace Abels,Video shows teacher teaching gender pronouns and being confronted by students,Facebook posts,"November 27, 2023",false
Tyler Katzenberger,Says U.S. Sen. Tammy Baldwin “voted to send hundreds of millions to Iran” to bankroll “radicals like Hezbollah and Hamas.”,National Republican Senatorial Committee,"November 24, 2023",barely-true
Sara Swann,"Videos of Nancy Pelosi from Jan. 6, 2021, show the Capitol attack was staged.",Instagram posts,"November 21, 2023",false
Kwasi Gyamfi,“Israel has changed their barcode from 729 to 871 … as the public was boycotting Israeli products.”,TikTok posts,"• November 21,",false
Loreben Tuquero,Video shows that “Troy Nehls FORCES Pete Buttigieg to admit that Biden is unfit to serve.”,Facebook posts,"November 21, 2023",false
Louis Jacobson,"“Because wages are rising, this Thanksgiving dinner is the fourth-cheapest ever as a percentage of average earnings.”",Karine Jean-Pierre,"November 21, 2023",mostly-true
Maria Ramirez,“New police bodycam footage” of George Floyd’s arrest “changes the narrative”,Megyn Kelly,"• November 21,",false
Madison Czopek,"A ""ghost bus … filled with FBI informants dressed as Trump supporters deployed onto our Capitol on January 6th.”",Clay Higgins,"November 21, 2023",false
Ayden Norcross,"Jim Justice “broke his pledge, raised the gas tax.”",Alex Mooney,"November 21, 2023",false
Louis Jacobson,"The federal government and the Federal Reserve were “raising inflation,” something that “had nothing to do with … getting our economy back in line” but rather to fund a “war against a bunch of civilians.”",TikTok posts,"November 21, 2023",false
Loreben Tuquero,Video shows Israeli soldiers “raising their flag” over al-Shifa hospital in Gaza.,Instagram posts,"November 21, 2023",false
Samantha Putterman,CNN and The Associated Press “admitted” to knowing about Hamas’ Oct. 7 attack in advance but didn’t tell anyone.,TikTok posts,"November 20, 2023",false
Maria Briceño,"“Any American who needs $2,000 a month can get it now” thanks to a new government program.",Facebook posts,"November 20, 2023",false
Jeff Cercone,These 13 books “have been banned from schools in Florida.”,Pink,"November 20, 2023",barely-true
Louis Jacobson,"""Half of American high school students are not familiar with the Holocaust.""",Dean Phillips,"November 20, 2023",barely-true
Samantha Putterman,Florida Gov. Ron DeSantis “did something six months ago” akin to Nikki Haley recruiting Chinese companies to South Carolina.,Nikki Haley,"November 20, 2023",false
Ciara O'Rourke,Princess Diana “is still alive” and “possibly could be with Trump.”,Viral image,"November 17, 2023",pants-fire
Ciara O'Rourke,Video shows “Elon Musk and the Dubai billionaire have unveiled new software called ‘Quantum AI.’”,Facebook posts,"November 17, 2023",false
Madison Czopek,“Footage from Israeli helicopter shows the IDF killing many people at October 7 concert in Israel.”,Stew Peters,"November 17, 2023",false
Jeff Cercone,Billboard in New York City shows “Stand with Israel” ad replacing “Stand with Ukraine” ad.,Instagram posts,"November 17, 2023",false
Ciara O'Rourke,Video shows President Joe Biden falling “on the plane stairs shortly after landing in Poland.”,Viral image,"November 17, 2023",false
Sophia Voight,"U.S. House Speaker Mike Johnson ""opposes Social Security benefits.""",Francesca Hong,"November 17, 2023",barely-true
Maria Briceño,Ron DeSantis “wants to cut Social Security and Medicare.”,DeSantis Watch,"November 16, 2023",barely-true
Louis Jacobson,“Abraham Lincoln challenged a guy to a sword fight.”,Markwayne Mullin,"November 16, 2023",half-true
Maria Briceño,"""El representante oficial de las fuerzas armadas de Yemen ha declarado oficialmente la guerra a Israel"".",Facebook posts,"November 16, 2023",false
Grace Abels,Fox News reported that Stormy Daniels admitted having a ‘business relationship’ with Speaker Mike Johnson.,X posts,"November 16, 2023",false
Ciara O'Rourke,Former President Donald Trump “just told everyone he is commander in chief.”,Viral image,"November 15, 2023",false
Ciara O'Rourke,Photo shows “Pfizer CEO Albert Bourla wearing a mask in November 2023.”,Viral image,"November 15, 2023",false
Ciara O'Rourke,"Video shows first lady Jill Biden calling President Joe Biden “the world's biggest cheerleader for the atrocities happening now in Gaza.""",Viral image,"November 15, 2023",pants-fire
Louis Jacobson,"“Last year alone, natural disasters in America caused $178 billion in damages.”",Joe Biden,"November 15, 2023",mostly-true
Jeff Cercone,Rise in U.S. infant mortality rate connected to COVID-19 vaccines.,Instagram posts,"November 15, 2023",false
Paul Specht,“This map was drawn entirely in secret by an Ohio consultant … with taxpayer dollars.”,Eric Ager,"November 15, 2023",mostly-true
Amy Sherman,"New Hampshire has “a worse drug problem per capita than any other state.""",Donald Trump,"November 15, 2023",false
