index,author,statement,source,date,label,predicted_label,reasoning
3,Tyler Katzenberger,Says U.S. Sen. Tammy Baldwin “voted to send hundreds of millions to Iran” to bankroll “radicals like Hezbollah and Hamas.”,National Republican Senatorial Committee,"November 24, 2023",barely-true,half-true,"The statement is partially accurate but leaves out important details. Senator Tammy Baldwin did vote in favor of the Iran nuclear deal, which did result in Iran gaining access to frozen assets. However, it's misleading to say she voted to ""send hundreds of millions to Iran"" as if it was a direct transaction. Furthermore, the claim that this money was used to bankroll ""radicals like Hezbollah and Hamas"" is speculative and not directly supported by evidence."
7,Louis Jacobson,"“Because wages are rising, this Thanksgiving dinner is the fourth-cheapest ever as a percentage of average earnings.”",Karine Jean-Pierre,"November 21, 2023",mostly-true,Mostly-true,"The statement is accurate in suggesting that the cost of Thanksgiving dinner can be influenced by wage levels. However, it lacks specific data or sources to verify the claim that this particular Thanksgiving dinner is the ""fourth-cheapest ever as a percentage of average earnings."" Without this information, it's difficult to fully confirm the accuracy of the statement."
15,Jeff Cercone,These 13 books “have been banned from schools in Florida.”,Pink,"November 20, 2023",barely-true,half-true,"The statement is partially accurate but leaves out important details. While it's possible that some books have been banned from schools in Florida, the statement doesn't specify which 13 books are being referred to, nor does it provide any context or reasons for the ban. The banning of books in schools is a complex issue that often involves various factors such as content appropriateness, parental consent, and educational relevance. Without these details, it's difficult to fully assess the accuracy of the statement."
16,Louis Jacobson,"""Half of American high school students are not familiar with the Holocaust.""",Dean Phillips,"November 20, 2023",barely-true,half-true,"The statement is partially accurate but leaves out important details. While it is true that some American high school students may not be fully educated about the Holocaust, stating that half of them are not familiar with it is a broad generalization. The level of knowledge can vary greatly depending on the curriculum, the state, and the individual student's interest in history."
18,Ciara O'Rourke,Princess Diana “is still alive” and “possibly could be with Trump.”,Viral image,"November 17, 2023",pants-fire,pants-fire,"The statement is not accurate and makes a ridiculous claim. Princess Diana died in a car crash in 1997, which is a well-documented fact. The claim that she could be with Trump is also baseless and lacks any credible evidence."
23,Sophia Voight,"U.S. House Speaker Mike Johnson ""opposes Social Security benefits.""",Francesca Hong,"November 17, 2023",barely-true,half-true,"The statement is partially accurate but leaves out important details. Mike Johnson may have opposed certain aspects or reforms of Social Security, but it's unlikely that he opposes the entire concept of Social Security benefits. The statement needs more context to be fully understood."
24,Maria Briceño,Ron DeSantis “wants to cut Social Security and Medicare.”,DeSantis Watch,"November 16, 2023",barely-true,half-true,"While it's true that Ron DeSantis has supported policies that could lead to cuts in Social Security and Medicare, it's not accurate to say he ""wants"" to cut these programs. His stance is more about reducing the deficit and debt, which could involve changes to these programs, but it's not a direct desire to cut them."
25,Louis Jacobson,“Abraham Lincoln challenged a guy to a sword fight.”,Markwayne Mullin,"November 16, 2023",half-true,Mostly-true,"While it sounds like a tall tale, there is historical evidence that Abraham Lincoln, before he became president, was challenged to a duel by a political rival, James Shields. However, as the one challenged, Lincoln had the right to choose the weapons and he humorously chose broadswords, hoping to dissuade Shields with his superior reach. The duel never actually took place as friends intervened and resolved the dispute. So, while Lincoln did technically choose swords for a duel, it's misleading to say he ""challenged a guy to a sword fight"" as it implies a more aggressive action than what actually happened."
30,Ciara O'Rourke,"Video shows first lady Jill Biden calling President Joe Biden “the world's biggest cheerleader for the atrocities happening now in Gaza.""",Viral image,"November 15, 2023",pants-fire,false,"There is no evidence or credible source that supports the claim that Jill Biden referred to President Joe Biden as ""the world's biggest cheerleader for the atrocities happening now in Gaza."" This statement seems to be a fabrication or misinterpretation."
31,Louis Jacobson,"“Last year alone, natural disasters in America caused $178 billion in damages.”",Joe Biden,"November 15, 2023",mostly-true,mostly-true,"The statement is accurate in that natural disasters can cause significant damage, often amounting to billions of dollars. However, without specific data from the mentioned year, it's hard to confirm the exact figure of $178 billion. The amount of damage can vary greatly from year to year depending on the severity and frequency of the disasters."
33,Paul Specht,“This map was drawn entirely in secret by an Ohio consultant … with taxpayer dollars.”,Eric Ager,"November 15, 2023",mostly-true,half-true,"The statement is partially accurate. It is true that the map could have been drawn by a consultant, possibly in secret, and it could have been funded by taxpayer dollars. However, the statement leaves out important details such as the purpose of the map, the context in which it was drawn, and the specific circumstances under which it was funded by taxpayer dollars. Without these details, it's hard to fully assess the truthfulness of the statement."
37,Samantha Putterman,"An exemption in a new Florida law “allowed Chinese nationals to buy land within a 20-mile radius of a military base, lobbied for by one of (Gov. Ron DeSantis’) donors.”",Vivek Ramaswamy,"November 15, 2023",half-true,False,"The statement is not accurate. There is no evidence or credible source that supports the claim that a new Florida law allows Chinese nationals to buy land within a 20-mile radius of a military base, or that such a provision was lobbied for by a donor to Gov. Ron DeSantis. This seems to be a misinterpretation or fabrication of the law's content."
39,Louis Jacobson,"“We sell arms to 60% of the world's autocrats. We are the world's largest arms exporters.""",Marianne Williamson,"November 14, 2023",true,mostly-true,"The statement is accurate in that the United States is indeed the world's largest arms exporter. However, the exact percentage of arms sold to autocrats can vary and is not easily verifiable. The term ""autocrat"" can also be subjective and depends on how one defines an autocratic regime."
40,Sarah Bahari,“We produce a lot more wind energy in Texas than California does.”,Ted Cruz,"November 14, 2023",true,True,"Texas is the leading state in the United States for wind power production, with the largest installed wind energy capacity. As of 2020, Texas had more than 30,000 megawatts of wind power, while California had around 6,000 megawatts. Therefore, the statement is accurate."
44,Ciara O'Rourke,A “B-2 stealth bomber seen over New York” means “Hezbollah may declare war on Israel.”,TikTok posts,"November 10, 2023",pants-fire,false,The statement is not accurate. The sighting of a B-2 stealth bomber over New York does not directly imply that Hezbollah may declare war on Israel. These are two separate events and one does not necessarily cause or indicate the other. The author is making a speculative connection without providing any substantial evidence or context.
48,Ciara O'Rourke,“Jews did 9/11.”,Instagram posts,"November 10, 2023",pants-fire,pants-fire,"This statement is not accurate and makes a ridiculous claim. It promotes a conspiracy theory that is not supported by any credible evidence. The 9/11 attacks were carried out by the Islamic extremist group al-Qaeda, as confirmed by multiple investigations, including the 9/11 Commission Report."
49,Jeff Cercone,Joe Rogan spoke about a child being abducted into a secret Disneyland tunnel.,Instagram posts,"November 9, 2023",pants-fire,False,There is no credible source or evidence to support the claim that Joe Rogan spoke about a child being abducted into a secret Disneyland tunnel. This statement seems to be a fabrication or a misinterpretation.
50,Louis Jacobson,"“In 1992, this country made a promise to Ukraine. We said if you return nuclear missiles that were part of the old Soviet Union to Russia, and they invade you, we will protect you.”",Chris Christie,"November 9, 2023",barely-true,half-true,"The statement is partially accurate. The Budapest Memorandum on Security Assurances, signed in 1994, did involve Ukraine giving up its Soviet-era nuclear arsenal in exchange for assurances of its sovereignty and territorial integrity from the United States, United Kingdom, and Russia. However, the agreement did not explicitly promise military protection or intervention from the U.S. or U.K. in the event of an invasion. It was more of a political commitment rather than a binding security guarantee."
52,Ciara O'Rourke,Video shows someone wearing a Donald Trump mask appeared in court instead of the former president.,Viral image,"November 9, 2023",pants-fire,False,The statement is not accurate. There is no record or credible report of someone wearing a Donald Trump mask appearing in court instead of the former president. This seems like a misinterpretation or fabrication of events.
57,Jeff Cercone,"""Acapulco destroyed by yet another directed weather attack!”",Instagram posts,"November 9, 2023",pants-fire,pants-fire,"The statement is not accurate and makes a ridiculous claim including a conspiracy. There is no scientific evidence or consensus that supports the idea of ""directed weather attacks"". Weather is a natural phenomenon and cannot be controlled or directed to attack specific locations."
58,Tyler Katzenberger,Wisconsin elections administrator Meagan Wolfe “refuses to clean up our voter rolls”,"Wisconsin Election Committee, Inc .","November 8, 2023",pants-fire,half-true,"The statement is partially accurate. Meagan Wolfe, as Wisconsin's chief election official, does have a role in managing the state's voter rolls. However, the statement implies that she is neglecting her duties or intentionally allowing inaccuracies to persist, which is a misrepresentation. The process of maintaining voter rolls is complex and involves many factors, including federal laws and regulations, state laws, and local administration. It's not solely up to Wolfe to ""clean up"" the voter rolls."
60,Tyler Katzenberger,Wisconsin elections administrator Meagan Wolfe “permitted the ‘Zuckerbucks’ influence money.”,"Wisconsin Election Committee, Inc .","November 8, 2023",pants-fire,half-true,"The statement is partially accurate but leaves out important details. It's true that Wisconsin, like many other states, received funding from the Center for Tech and Civic Life, a nonprofit that received a large donation from Facebook CEO Mark Zuckerberg and his wife Priscilla Chan, for election administration in 2020. However, the term ""Zuckerbucks"" is a pejorative term used by some critics of this funding, and the statement implies a negative connotation or undue influence without providing evidence or context. Furthermore, Meagan Wolfe, as an administrator, would not have sole authority to permit or deny such funding."
