index,author,statement,source,date,label,predicted_label,reasoning
3,Tyler Katzenberger,Says U.S. Sen. Tammy Baldwin “voted to send hundreds of millions to Iran” to bankroll “radicals like Hezbollah and Hamas.”,National Republican Senatorial Committee,"November 24, 2023",barely-true,pants-fire,The statement is not accurate and makes a ridiculous claim including a conspiracy. There is no evidence to support the claim that Senator Tammy Baldwin voted to send hundreds of millions to Iran to bankroll radicals like Hezbollah and Hamas. This statement seems to be a baseless accusation and conspiracy theory.
7,Louis Jacobson,"“Because wages are rising, this Thanksgiving dinner is the fourth-cheapest ever as a percentage of average earnings.”",Karine Jean-Pierre,"November 21, 2023",mostly-true,half-true,"The statement is partially accurate but leaves out important details or takes things out of context. While it is true that wages are rising, it does not necessarily mean that Thanksgiving dinner is the fourth-cheapest ever as a percentage of average earnings. The statement fails to provide any data or evidence to support this claim. Additionally, the statement does not specify the time period or location for which this comparison is being made. Without further information, it is difficult to determine the accuracy of the claim."
15,Jeff Cercone,These 13 books “have been banned from schools in Florida.”,Pink,"November 20, 2023",barely-true,half-true,"The statement is partially accurate as it claims that these books have been banned from schools in Florida. However, it lacks important details such as the specific books that have been banned and the reasons behind the ban. Without this information, it is difficult to fully assess the accuracy of the statement."
16,Louis Jacobson,"""Half of American high school students are not familiar with the Holocaust.""",Dean Phillips,"November 20, 2023",barely-true,half-true,"The statement is partially accurate but leaves out important details or takes things out of context. While it is possible that a significant number of American high school students may not be familiar with the Holocaust, the statement does not provide any specific data or evidence to support this claim. Without additional information, it is difficult to determine the exact percentage of students who are unfamiliar with the Holocaust."
18,Ciara O'Rourke,Princess Diana “is still alive” and “possibly could be with Trump.”,Viral image,"November 17, 2023",pants-fire,pants-fire,This statement is not accurate and makes a ridiculous claim. Princess Diana passed away in 1997 and there is no evidence to support the claim that she is still alive or that she could be with Trump. This statement seems to be a baseless conspiracy theory.
23,Sophia Voight,"U.S. House Speaker Mike Johnson ""opposes Social Security benefits.""",Francesca Hong,"November 17, 2023",barely-true,false,"The statement claims that U.S. House Speaker Mike Johnson opposes Social Security benefits. However, without any additional information or context, it is difficult to determine the accuracy of this claim. It is important to consider the source of the statement and any potential biases. Additionally, it would be helpful to have direct quotes or actions from Mike Johnson himself to verify his stance on Social Security benefits."
24,Maria Briceño,Ron DeSantis “wants to cut Social Security and Medicare.”,DeSantis Watch,"November 16, 2023",barely-true,half-true,"The statement is partially accurate but leaves out important details or takes things out of context. While it is true that Ron DeSantis has expressed support for reducing government spending, including entitlement programs like Social Security and Medicare, it is important to note that he has not explicitly stated that he wants to ""cut"" these programs. The statement also does not provide any specific context or evidence to support the claim."
25,Louis Jacobson,“Abraham Lincoln challenged a guy to a sword fight.”,Markwayne Mullin,"November 16, 2023",half-true,pants-fire,This statement is not accurate and makes a ridiculous claim. There is no historical evidence or credible sources to support the claim that Abraham Lincoln challenged someone to a sword fight. It is highly unlikely and goes against the known facts about Abraham Lincoln's character and behavior.
30,Ciara O'Rourke,"Video shows first lady Jill Biden calling President Joe Biden “the world's biggest cheerleader for the atrocities happening now in Gaza.""",Viral image,"November 15, 2023",pants-fire,pants-fire,"The statement is not accurate and makes a ridiculous claim including a conspiracy. This statement claims that First Lady Jill Biden called President Joe Biden ""the world's biggest cheerleader for the atrocities happening now in Gaza."" However, there is no evidence or credible source to support this claim. It is highly unlikely that the First Lady would make such a statement, especially using such inflammatory language."
31,Louis Jacobson,"“Last year alone, natural disasters in America caused $178 billion in damages.”",Joe Biden,"November 15, 2023",mostly-true,mostly-true,"The statement is mostly true because it states that natural disasters in America caused $178 billion in damages. However, it would be helpful to have more specific information about which natural disasters and the source of this information."
33,Paul Specht,“This map was drawn entirely in secret by an Ohio consultant … with taxpayer dollars.”,Eric Ager,"November 15, 2023",mostly-true,half-true,"The statement suggests that the map was drawn entirely in secret by an Ohio consultant with taxpayer dollars. While it is possible that the map was drawn in secret, there is no evidence provided to support this claim. Additionally, the statement does not specify the purpose or context of the map, making it difficult to determine if taxpayer dollars were actually used. Therefore, the statement is partially accurate but lacks important details and evidence."
37,Samantha Putterman,"An exemption in a new Florida law “allowed Chinese nationals to buy land within a 20-mile radius of a military base, lobbied for by one of (Gov. Ron DeSantis’) donors.”",Vivek Ramaswamy,"November 15, 2023",half-true,half-true,"The statement is partially accurate but leaves out important details or takes things out of context. While it is true that there was an exemption in a new Florida law that allowed Chinese nationals to buy land within a 20-mile radius of a military base, the statement implies that this exemption was specifically lobbied for by one of Governor Ron DeSantis' donors. However, the statement does not provide any evidence or specific information to support this claim. Without further information, it is unclear if the exemption was directly influenced by a donor or if it was part of a broader legislative decision."
39,Louis Jacobson,"“We sell arms to 60% of the world's autocrats. We are the world's largest arms exporters.""",Marianne Williamson,"November 14, 2023",true,half-true,"The statement is partially accurate but leaves out important details or takes things out of context. While it is true that the United States is one of the largest arms exporters in the world, the claim that they sell arms to 60% of the world's autocrats needs clarification and additional information. The statement does not provide specific data or sources to support this claim, making it difficult to determine the accuracy of the percentage mentioned."
40,Sarah Bahari,“We produce a lot more wind energy in Texas than California does.”,Ted Cruz,"November 14, 2023",true,half-true,"The statement is partially accurate as Texas does produce more wind energy than California. However, it leaves out important details such as the specific amount of wind energy produced by each state and the context in which the comparison is being made. It is important to consider factors such as population size, land area, and energy consumption when comparing the wind energy production of different states."
